data,produto,categoria,regiao,preco,quantidade,valor_total
2025-01-02,Kit Skincare,Beleza,Norte,229.00,5,1145.00
2025-01-03,Batom Matte,Beleza,Sul,49.90,1,49.90
2025-01-03,Jaqueta Jeans,Moda,Centro-Oeste,249.00,6,1494.00
2025-01-03,Batom Matte,Beleza,Centro-Oeste,49.90,5,249.50
2025-01-03,Bola Futebol,Esporte,Nordeste,119.00,8,952.00
2025-01-04,Mochila Trilha,Esporte,Nordeste,279.00,6,1674.00
2025-01-04,Boné Trucker,Moda,Norte,59.90,5,299.50
2025-01-05,Halteres 10kg,Esporte,Norte,189.00,8,1512.00
2025-01-06,Halteres 10kg,Esporte,Centro-Oeste,189.00,7,1323.00
2025-01-06,Aspirador Robô,Casa,Nordeste,1499.00,2,2998.00
2025-01-07,Luminária LED,Casa,Norte,129.00,5,645.00
2025-01-08,Aspirador Robô,Casa,Nordeste,1499.00,6,8994.00
2025-01-08,Secador Pro,Beleza,Norte,279.00,1,279.00
2025-01-08,Tablet Lite,Eletrônicos,Sudeste,1599.00,7,11193.00
2025-01-08,Luminária LED,Casa,Norte,129.00,2,258.00
2025-01-09,Conjunto Panelas,Casa,Centro-Oeste,459.00,4,1836.00
2025-01-10,Edredom Queen,Casa,Nordeste,329.00,5,1645.00
2025-01-12,Notebook Pro 14,Eletrônicos,Sul,5499.00,3,16497.00
2025-01-13,Aspirador Robô,Casa,Sudeste,1499.00,12,17988.00
2025-01-14,Bicicleta MTB,Esporte,Nordeste,2199.00,10,21990.00
2025-01-14,Aspirador Robô,Casa,Sudeste,1499.00,12,17988.00
2025-01-15,Tapete Yoga,Esporte,Norte,99.00,2,198.00
2025-01-15,Luminária LED,Casa,Sudeste,129.00,9,1161.00
2025-01-15,Fone Bluetooth,Eletrônicos,Nordeste,299.00,9,2691.00
2025-01-18,Boné Trucker,Moda,Sul,59.90,10,599.00
2025-01-19,Vestido Floral,Moda,Sul,189.00,11,2079.00
2025-01-19,Smartphone X12,Eletrônicos,Sudeste,3299.00,5,16495.00
2025-01-20,Jaqueta Jeans,Moda,Centro-Oeste,249.00,3,747.00
2025-01-21,Mochila Trilha,Esporte,Norte,279.00,2,558.00
2025-01-21,Kit Skincare,Beleza,Centro-Oeste,229.00,11,2519.00
2025-01-22,Halteres 10kg,Esporte,Centro-Oeste,189.00,2,378.00
