key_centro,nome_centro,empresa,nome_empreendimento,cod_insumo,cod_sub_grupo,descricao_insumo,unidade,data_movimento,classe,tipo_movimento,tipo_documento,numero_documento,num_movimento,quantidade,preco_unitario,valor,titulo_grupo,titulo_subgrupo,quantidade_estoque_atual,valor_estoque_atual
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,630,10,CIMENTO PORTLAND,KG,2024-01-03,E,C,NF-e,50001,10001,3622399,0.5,1811199.5,AGLOMERANTES,CIMENTO,3622399,1811199.5
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,630,10,CIMENTO PORTLAND,KG,2024-01-26,S,S,RM,50002,10002,2699505,0.5,1349752.5,AGLOMERANTES,CIMENTO,922894,461447
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,630,10,CIMENTO PORTLAND,KG,2024-01-20,S,T,TRF,50003,10003,700082,0.5,350041,AGLOMERANTES,CIMENTO,222812,111406
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,23307,10,CIMENTO PORTLAND COMPOSTO CP II-32,KG,2024-01-17,E,C,NF-e,50004,10004,2719180,0.7,1903425.9999999998,AGLOMERANTES,CIMENTO,2719180,1903425.9999999998
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,23307,10,CIMENTO PORTLAND COMPOSTO CP II-32,KG,2024-01-12,S,S,RM,50005,10005,1914266,0.7,1339986.2,AGLOMERANTES,CIMENTO,804914,563439.7999999999
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,227,20,AREIA GROSSA,M3,2024-01-21,E,C,NF-e,50006,10006,27363,65,1778595,AGREGADOS,AREIAS,27363,1778595
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,227,20,AREIA GROSSA,M3,2024-01-05,S,S,RM,50007,10007,22478,65,1461070,AGREGADOS,AREIAS,4885,317525
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,6081,20,TIJOLO CERÂMICO 9CM X 19CM X 19CM,UN,2024-01-25,E,C,NF-e,50008,10008,4446811,0.45,2001064.95,CERÂMICAS,TIJOLOS,4446811,2001064.95
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,6081,20,TIJOLO CERÂMICO 9CM X 19CM X 19CM,UN,2024-01-09,S,S,RM,50009,10009,2927310,0.45,1317289.5,CERÂMICAS,TIJOLOS,1519501,683775.4500000001
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,21114,20,VALE MATERIAL P/OBRA,R$,2024-01-12,E,C,NF-e,50010,10010,1838998,1,1838998,ACESSÓRIOS,VALES,1838998,1838998
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,21114,20,VALE MATERIAL P/OBRA,R$,2024-01-27,S,S,RM,50011,10011,1371033,1,1371033,ACESSÓRIOS,VALES,467965,467965
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,540,20,AÇO CA-50 10.0MM,KG,2024-01-01,E,C,NF-e,50012,10012,310201,6.5,2016306.5,AÇOS,VERGALHOES,310201,2016306.5
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,540,20,AÇO CA-50 10.0MM,KG,2024-01-25,S,S,RM,50013,10013,200581,6.5,1303776.5,AÇOS,VERGALHOES,109620,712530
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,540,20,AÇO CA-50 10.0MM,KG,2024-01-12,S,T,TRF,50014,10014,62699,6.5,407543.5,AÇOS,VERGALHOES,46921,304986.5
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,880,20,CABO COBRE FLEXIVEL 2.5MM2,M,2024-01-03,E,C,NF-e,50015,10015,495138,3.2,1584441.6,FIOS E CABOS,CONDUTORES,495138,1584441.6
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,880,20,CABO COBRE FLEXIVEL 2.5MM2,M,2024-01-23,S,S,RM,50016,10016,475102,3.2,1520326.4000000001,FIOS E CABOS,CONDUTORES,20036,64115.200000000004
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,1050,20,TELHA ONDULADA FIBROCIMENTO,UN,2024-01-03,E,C,NF-e,50017,10017,67965,25,1699125,TELHAS ESPECIAIS,TELHAS,67965,1699125
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,1050,20,TELHA ONDULADA FIBROCIMENTO,UN,2024-01-24,S,S,RM,50018,10018,56231,25,1405775,TELHAS ESPECIAIS,TELHAS,11734,293350
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,3200,20,PAVIMENTO INTERTRAVADO 6CM,M2,2024-01-31,E,C,NF-e,50019,10019,39696,42,1667232,PAVIMENTAÇÃO PRÉ-MOLDADA,PAVIMENTOS,39696,1667232
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,3200,20,PAVIMENTO INTERTRAVADO 6CM,M2,2024-01-21,S,S,RM,50020,10020,30986,42,1301412,PAVIMENTAÇÃO PRÉ-MOLDADA,PAVIMENTOS,8710,365820
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,4500,20,CONCRETO USINADO FCK 30 MPA,M3,2024-01-20,E,C,NF-e,50021,10021,4788,350,1675800,CONCRETO USINADO,CONCRETOS,4788,1675800
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,4500,20,CONCRETO USINADO FCK 30 MPA,M3,2024-01-27,S,S,RM,50022,10022,4114,350,1439900,CONCRETO USINADO,CONCRETOS,674,235900
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,1200,20,OLEO DIESEL S10,L,2024-01-26,E,C,NF-e,50023,10023,350388,5.8,2032250.4,COMBUSTÍVEIS E LUBRIFICANTES,COMBUSTIVEIS,350388,2032250.4
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,1200,20,OLEO DIESEL S10,L,2024-01-22,S,S,RM,50024,10024,227764,5.8,1321031.2,COMBUSTÍVEIS E LUBRIFICANTES,COMBUSTIVEIS,122624,711219.2
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,1200,20,OLEO DIESEL S10,L,2024-01-02,S,T,TRF,50025,10025,63904,5.8,370643.2,COMBUSTÍVEIS E LUBRIFICANTES,COMBUSTIVEIS,58720,340576
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,630,10,CIMENTO PORTLAND,KG,2024-02-16,E,C,NF-e,50026,10026,3386245,0.5,1693122.5,AGLOMERANTES,CIMENTO,3609057,1804528.5
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,630,10,CIMENTO PORTLAND,KG,2024-02-13,S,S,RM,50027,10027,2728346,0.5,1364173,AGLOMERANTES,CIMENTO,880711,440355.5
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,630,10,CIMENTO PORTLAND,KG,2024-02-17,S,T,TRF,50028,10028,879991,0.5,439995.5,AGLOMERANTES,CIMENTO,720,360
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,23307,10,CIMENTO PORTLAND COMPOSTO CP II-32,KG,2024-02-22,E,C,NF-e,50029,10029,2426603,0.7,1698622.0999999999,AGLOMERANTES,CIMENTO,3231517,2262061.9
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,23307,10,CIMENTO PORTLAND COMPOSTO CP II-32,KG,2024-02-07,S,S,RM,50030,10030,1843925,0.7,1290747.5,AGLOMERANTES,CIMENTO,1387592,971314.3999999999
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,227,20,AREIA GROSSA,M3,2024-02-13,E,C,NF-e,50031,10031,32087,65,2085655,AGREGADOS,AREIAS,36972,2403180
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,227,20,AREIA GROSSA,M3,2024-02-12,S,S,RM,50032,10032,18488,65,1201720,AGREGADOS,AREIAS,18484,1201460
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,6081,20,TIJOLO CERÂMICO 9CM X 19CM X 19CM,UN,2024-02-12,E,C,NF-e,50033,10033,4328588,0.45,1947864.6,CERÂMICAS,TIJOLOS,5848089,2631640.0500000003
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,6081,20,TIJOLO CERÂMICO 9CM X 19CM X 19CM,UN,2024-02-22,S,S,RM,50034,10034,2975492,0.45,1338971.4000000001,CERÂMICAS,TIJOLOS,2872597,1292668.6500000001
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,21114,20,VALE MATERIAL P/OBRA,R$,2024-02-02,E,C,NF-e,50035,10035,2003178,1,2003178,ACESSÓRIOS,VALES,2471143,2471143
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,21114,20,VALE MATERIAL P/OBRA,R$,2024-02-23,S,S,RM,50036,10036,1356214,1,1356214,ACESSÓRIOS,VALES,1114929,1114929
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,540,20,AÇO CA-50 10.0MM,KG,2024-02-12,E,C,NF-e,50037,10037,267131,6.5,1736351.5,AÇOS,VERGALHOES,314052,2041338
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,540,20,AÇO CA-50 10.0MM,KG,2024-02-08,S,S,RM,50038,10038,207674,6.5,1349881,AÇOS,VERGALHOES,106378,691457
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,540,20,AÇO CA-50 10.0MM,KG,2024-02-20,S,T,TRF,50039,10039,38427,6.5,249775.5,AÇOS,VERGALHOES,67951,441681.5
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,880,20,CABO COBRE FLEXIVEL 2.5MM2,M,2024-02-05,E,C,NF-e,50040,10040,546443,3.2,1748617.6,FIOS E CABOS,CONDUTORES,566479,1812732.8
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,880,20,CABO COBRE FLEXIVEL 2.5MM2,M,2024-02-24,S,S,RM,50041,10041,399253,3.2,1277609.6,FIOS E CABOS,CONDUTORES,167226,535123.2000000001
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,1050,20,TELHA ONDULADA FIBROCIMENTO,UN,2024-02-01,E,C,NF-e,50042,10042,85173,25,2129325,TELHAS ESPECIAIS,TELHAS,96907,2422675
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,1050,20,TELHA ONDULADA FIBROCIMENTO,UN,2024-02-23,S,S,RM,50043,10043,50757,25,1268925,TELHAS ESPECIAIS,TELHAS,46150,1153750
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,3200,20,PAVIMENTO INTERTRAVADO 6CM,M2,2024-02-13,E,C,NF-e,50044,10044,38585,42,1620570,PAVIMENTAÇÃO PRÉ-MOLDADA,PAVIMENTOS,47295,1986390
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,3200,20,PAVIMENTO INTERTRAVADO 6CM,M2,2024-02-26,S,S,RM,50045,10045,29913,42,1256346,PAVIMENTAÇÃO PRÉ-MOLDADA,PAVIMENTOS,17382,730044
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,4500,20,CONCRETO USINADO FCK 30 MPA,M3,2024-02-14,E,C,NF-e,50046,10046,4810,350,1683500,CONCRETO USINADO,CONCRETOS,5484,1919400
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,4500,20,CONCRETO USINADO FCK 30 MPA,M3,2024-02-09,S,S,RM,50047,10047,4045,350,1415750,CONCRETO USINADO,CONCRETOS,1439,503650
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,1200,20,OLEO DIESEL S10,L,2024-02-05,E,C,NF-e,50048,10048,325348,5.8,1887018.4,COMBUSTÍVEIS E LUBRIFICANTES,COMBUSTIVEIS,384068,2227594.4
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,1200,20,OLEO DIESEL S10,L,2024-02-16,S,S,RM,50049,10049,222184,5.8,1288667.2,COMBUSTÍVEIS E LUBRIFICANTES,COMBUSTIVEIS,161884,938927.2
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,1200,20,OLEO DIESEL S10,L,2024-02-01,S,T,TRF,50050,10050,63900,5.8,370620,COMBUSTÍVEIS E LUBRIFICANTES,COMBUSTIVEIS,97984,568307.2
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,630,10,CIMENTO PORTLAND,KG,2024-03-09,E,C,NF-e,50051,10051,3758478,0.5,1879239,AGLOMERANTES,CIMENTO,3759198,1879599
